date,close
2011-06-30,3393.75
2011-07-01,3424.64990234375
2011-07-04,3440.050048828125
2011-07-05,3413.60009765625
2011-07-06,3406.5
2011-07-07,3456.10009765625
2011-07-08,3436.800048828125
2011-07-11,3426.14990234375
2011-07-12,3402.5
2011-07-13,3445.199951171875
2011-07-14,3443.14990234375
2011-07-15,3430.5
2011-07-18,3442.10009765625
2011-07-19,3447.300048828125
2011-07-20,3418.300048828125
2011-07-21,3400.699951171875
2011-07-22,3432.699951171875
2011-07-25,3446.949951171875
2011-07-26,3378.449951171875
2011-07-27,3340.89990234375
2011-07-28,3319.75
2011-07-29,3294.050048828125
2011-08-01,3301.35009765625
2011-08-02,3300.85009765625
2011-08-03,3305.10009765625
2011-08-04,3293.199951171875
2011-08-05,3249.10009765625
2011-08-08,3240.199951171875
2011-08-09,3225.85009765625
2011-08-10,3250.550048828125
2011-08-11,3235.699951171875
2011-08-12,3222.14990234375
2011-08-16,3191.14990234375
2011-08-17,3181.75
2011-08-18,3152.550048828125
2011-08-19,3115.050048828125
2011-08-22,3160.39990234375
2011-08-23,3148.60009765625
2011-08-24,3138.449951171875
2011-08-25,3120.300048828125
2011-08-26,3068.300048828125
2011-08-29,3111.60009765625
2011-08-30,3087.10009765625
2011-09-02,3088.85009765625
2011-09-05,3060.300048828125
2011-09-06,3083.85009765625
2011-09-07,3126.85009765625
2011-09-08,3109.35009765625
2011-09-09,3070.949951171875
2011-09-12,3034.699951171875
2011-09-13,3029.199951171875
2011-09-14,3063.25
2011-09-15,3091.949951171875
2011-09-16,3142.14990234375
2011-09-19,3111.75
2011-09-20,3108.89990234375
2011-09-21,3113.25
2011-09-22,3039.10009765625
2011-09-23,3019.64990234375
2011-09-26,2982.0
2011-09-27,3038.449951171875
2011-09-28,3048.0
2011-09-29,3078.800048828125
2011-09-30,3051.0
2011-10-03,3024.050048828125
2011-10-04,2999.800048828125
2011-10-05,2974.85009765625
2011-10-07,3028.25
2011-10-10,3085.25
2011-10-11,3090.550048828125
2011-10-12,3115.89990234375
2011-10-13,3078.75
2011-10-14,3066.449951171875
2011-10-17,3026.60009765625
2011-10-18,3012.199951171875
2011-10-19,3064.300048828125
