date,close
2016-03-14,8581.400390625
2016-03-15,8596.2998046875
2016-03-16,8690.5498046875
2016-03-17,8694.5498046875
2016-03-18,8803.75
2016-03-21,8939.0498046875
2016-03-22,8932.900390625
2016-03-23,8915.0
2016-03-28,8766.900390625
2016-03-29,8799.150390625
2016-03-30,9068.400390625
2016-03-31,9086.75
2016-04-01,9100.400390625
2016-04-04,9121.599609375
2016-04-05,8850.349609375
2016-04-06,8807.7998046875
2016-04-07,8749.25
2016-04-08,8764.349609375
2016-04-11,8889.75
2016-04-12,8951.599609375
2016-04-13,9186.349609375
2016-04-18,9178.7001953125
2016-04-20,9240.4501953125
2016-04-21,9400.5
2016-04-22,9407.650390625
2016-04-25,9416.2998046875
2016-04-26,9598.25
2016-04-27,9520.2001953125
2016-04-28,9447.25
2016-04-29,9505.5
2016-05-02,9369.2001953125
2016-05-03,9275.400390625
2016-05-04,9213.650390625
2016-05-05,9207.25
2016-05-06,9213.2998046875
2016-05-09,9434.099609375
2016-05-10,9495.900390625
2016-05-11,9517.900390625
2016-05-12,9602.900390625
2016-05-13,9492.2001953125
2016-05-16,9549.150390625
2016-05-17,9583.099609375
2016-05-18,9556.2001953125
2016-05-19,9490.7998046875
2016-05-20,9441.9501953125
2016-05-23,9424.400390625
2016-05-24,9452.75
2016-05-25,9758.9501953125
2016-05-26,9959.349609375
2016-05-27,9996.7998046875
2016-05-30,9996.4501953125
2016-05-31,10018.0
2016-06-01,9929.849609375
2016-06-02,10018.7998046875
2016-06-03,10135.25
2016-06-06,10114.0498046875
2016-06-07,10248.150390625
2016-06-08,10256.150390625
2016-06-09,10218.099609375
2016-06-10,10195.849609375
2016-06-13,10060.2998046875
2016-06-14,10069.5
2016-06-15,10175.75
2016-06-16,9995.7998046875
2016-06-17,10017.150390625
2016-06-20,10012.849609375
2016-06-21,9958.650390625
2016-06-22,9966.150390625
2016-06-23,10104.7001953125
2016-06-24,9834.599609375
2016-06-27,9862.349609375
2016-06-28,9887.900390625
2016-06-29,9977.9501953125
2016-06-30,10141.599609375
2016-07-01,10178.7001953125
2016-07-04,10233.5498046875
2016-07-05,10173.7998046875
2016-07-07,10219.75
2016-07-08,10198.099609375
2016-07-11,10375.5498046875
2016-07-12,10571.0
2016-07-13,10536.150390625
2016-07-14,10670.150390625
2016-07-15,10700.150390625
2016-07-18,10704.2001953125
2016-07-19,10699.2998046875
2016-07-20,10718.7998046875
2016-07-21,10553.0
